 time                    v(in)                   v(out)                 
 2.5888645361116470e-03 -5.2978949563657043e+00  1.2988614844056174e+00 
 2.6190665563136672e-03 -6.8025995612375745e+00  1.0802054802045158e+00 
 2.6492685765156874e-03 -8.0630719397471484e+00  8.2691931392973916e-01 
 2.6794705967177076e-03 -9.0340576310812750e+00  5.4797312300443524e-01 
 2.7096726169197278e-03 -9.6806955508816035e+00  2.5326198668105826e-01 
 2.7398746371217479e-03 -9.9797696010401094e+00 -4.6749444159275247e-02 
 2.7700766573237681e-03 -9.9205421921309025e+00 -3.4140276315777690e-01 
 2.8002786775257883e-03 -9.5051397527066701e+00 -6.2022857783204322e-01 
 2.8304806977278085e-03 -8.7484763846050537e+00 -8.7332248974371240e-01 
 2.8606827179298287e-03 -7.6777184052514205e+00 -1.0917007868381123e+00 
 2.8908847381318489e-03 -6.3313090013773357e+00 -1.2676230777009814e+00 
 2.9210867583338690e-03 -4.7575880117963409e+00 -1.3948702843517466e+00 
 2.9512887785358892e-03 -3.0130563928705212e+00 -1.4689680129428724e+00 
 2.9756443892679446e-03 -1.5243422423655850e+00 -1.4882116124800737e+00 
 3.0000000000000001e-03 -7.3478807948841184e-15 -1.4707412041308685e+00 
