 time                    v(in)                   v(out)                 
 1.4089260327987551e-04  7.7407602966788893e+00  5.5675715066124998e-01 
 1.4288459527186749e-04  7.8193901572539755e+00  5.7113162550547181e-01 
 1.4487658726385948e-04  7.8967951136201062e+00  5.8563275042086038e-01 
 1.4686857925585146e-04  7.9729630403231333e+00  6.0025782373606329e-01 
 1.4886057124784344e-04  8.0478820056890825e+00  6.1500412521911840e-01 
 1.5085256323983543e-04  8.1215402736932560e+00  6.2986891650187449e-01 
 1.5284455523182741e-04  8.1939263057986729e+00  6.4484944150725543e-01 
 1.5483654722381939e-04  8.2650287627635759e+00  6.5994292687930234e-01 
 1.5682853921581138e-04  8.3348365064177159e+00  6.7514658241592596e-01 
 1.5882053120780336e-04  8.4033386014071443e+00  6.9045760150429980e-01 
 1.6081252319979534e-04  8.4705243169072393e+00  7.0587316155882973e-01 
 1.6280451519178732e-04  8.5363831283036653e+00  7.2139042446162738e-01 
 1.6479650718377931e-04  8.6009047188410683e+00  7.3700653700542074e-01 
 1.6678849917577129e-04  8.6640789812391894e+00  7.5271863133883188e-01 
 1.6878049116776327e-04  8.7258960192761474e+00  7.6852382541395114e-01 
 1.7077248315975526e-04  8.7863461493387049e+00  7.8441922343613957e-01 
 1.7276447515174724e-04  8.8454199019391808e+00  8.0040191631598789e-01 
 1.7475646714373922e-04  8.9031080231988540e+00  8.1646898212336072e-01 
 1.7674845913573121e-04  8.9594014762975753e+00  8.3261748654345669e-01 
 1.7874045112772319e-04  9.0142914428893768e+00  8.4884448333481055e-01 
 1.8073244311971517e-04  9.0677693244838746e+00  8.6514701478916822e-01 
 1.8272443511170716e-04  9.1198267437932028e+00  8.8152211219316068e-01 
 1.8471642710369914e-04  9.1704555460443267e+00  8.9796679629170550e-01 
 1.8670841909569112e-04  9.2196478002564781e+00  9.1447807775306200e-01 
 1.8870041108768311e-04  9.2673958004835342e+00  9.3105295763546936e-01 
 1.9069240307967509e-04  9.3136920670211616e+00  9.4768842785529339e-01 
 1.9268439507166707e-04  9.3585293475785072e+00  9.6438147165660726e-01 
 1.9467638706365906e-04  9.4019006184142579e+00  9.8112906408213607e-01 
 1.9666837905565104e-04  9.4437990854369165e+00  9.9792817244548659e-01 
 1.9866037104764302e-04  9.4842181852690839e+00  1.0147757568045945e+00 
 2.0065236303963500e-04  9.5231515862756222e+00  1.0316687704363088e+00 
 2.0264435503162699e-04  9.5605931895554885e+00  1.0486041603120426e+00 
 2.0463634702361897e-04  9.5965371298971363e+00  1.0655788675744138e+00 
 2.0662833901561095e-04  9.6309777766972946e+00  1.0825898280148047e+00 
 2.0862033100760294e-04  9.6639097348429939e+00  1.0996339725517608e+00 
 2.1061232299959492e-04  9.6953278455567187e+00  1.1167082277101568e+00 
 2.1260431499158690e-04  9.7252271872045206e+00  1.1338095161010537e+00 
 2.1459630698357889e-04  9.7536030760669945e+00  1.1509347569021722e+00 
 2.1658829897557087e-04  9.7804510670729741e+00  1.1680808663389088e+00 
 2.1858029096756285e-04  9.8057669544958603e+00  1.1852447581658150e+00 
 2.2057228295955484e-04  9.8295467726124421e+00  1.2024233441484682e+00 
 2.2256427495154682e-04  9.8517867963241201e+00  1.2196135345456569e+00 
